contributors_enabled,created_at,default_profile,default_profile_image,description,favourites_count,followers_count,friends_count,geo_enabled,lang,listed_count,location,name,profile_background_color,profile_background_image_url,profile_background_tile,profile_banner_url,profile_image_url,profile_link_color,profile_sidebar_fill_color,profile_text_color,protected,screen_name,status_created_at,status_hashtags,status_lang,statuses_count,text,time_zone,url,user_id,user_mentions,verified,follows_subject
False,Sat Jun 03 07:01:19 +0000 2017,True,False,,891,129,586,False,en,0,,Adam Dean,F5F8FA,,False,https://pbs.twimg.com/profile_banners/870898170544443393/1500806183,http://pbs.twimg.com/profile_images/889071706127691777/uL84COMv_normal.jpg,1DA1F2,DDEEF6,333333,False,AdamDea57883763,Mon Feb 05 10:53:03 +0000 2018,[],en,233,"@Arunan29 hey its me adam from the job center , someone hacked into my Google account when are you next at the job center",,,870898170544443393,"[User(ID=3292105762, ScreenName=Arunan29)]",False,874376431949795330
False,Sun Aug 19 13:31:03 +0000 2012,True,False,"love LUFC, Rhinos and Yorkshire CC. Typical opinionated woman, love my country, hate EU, PC and leftie luvvies.",7456,582,1027,True,en,9,leeds,lyn dudley,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/746717834613489664/CGRUC1ip_normal.jpg,1DA1F2,DDEEF6,333333,False,DudleyLyn,Thu Feb 08 13:22:45 +0000 2018,[],en,3136,"Buy from your local farm shop, animals reared on the farm, stunned and killed humanely. Also MUCH cheaper than supe… https://t.co/MzLxuV5Da2",,,767566980,[],False,874376431949795330
False,Wed Jun 29 15:33:39 +0000 2016,True,False,Every new beginning comes from some other beginning’s end.,48038,430,33,False,en,14,UK,Need to Know,F5F8FA,,False,https://pbs.twimg.com/profile_banners/748177617036185600/1468742568,http://pbs.twimg.com/profile_images/754619092036968448/i7XkPy4F_normal.jpg,1DA1F2,DDEEF6,333333,False,Happytoberight,Wed Feb 07 05:55:16 +0000 2018,[],en,32161,"RT @Stop_The_EU: Oh Anna what have you done ?? Betrayed your constituents, ignored a democratic vote and undermined Britain's negotiating p…",London,,748177617036185600,"[User(ID=2762592056, ScreenName=Stop_The_EU)]",False,874376431949795330
False,Fri May 21 10:53:56 +0000 2010,False,False,"25 | ⚽️ | PE Specialist | BA, MA and PGCE Graduate 👨🏻‍🎓Interested in Politics. Mostly retweets",4815,972,843,True,en,2,North Hertfordshire ,Karl Dean 🇬🇧,C0DEED,http://pbs.twimg.com/profile_background_images/584756606/hop97z7yjvuly6g365oq.jpeg,False,https://pbs.twimg.com/profile_banners/146409787/1497214070,http://pbs.twimg.com/profile_images/811901651393114112/UFjOUUxa_normal.jpg,0084B4,DDEEF6,333333,False,Karl_Dean,Thu Feb 08 14:41:57 +0000 2018,[],en,9656,RT @darrengrimes_: This is a really lovely interview; if only the country could have seen this side of the PM during the general election.…,Amsterdam,,146409787,"[User(ID=4691437897, ScreenName=darrengrimes_)]",False,874376431949795330
False,Thu Jun 28 12:38:58 +0000 2012,True,False,"Still trying to think of what I want to be when I grow up! Now its the 21st century, just wondering where my jet pack is?",897,74,585,False,en,0,"leeds, west yorkshire",rob simpson,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/620951143/1375561470,http://pbs.twimg.com/profile_images/781941331065204736/A6FqtQgb_normal.jpg,1DA1F2,DDEEF6,333333,False,robsim88,Thu Jan 04 18:32:51 +0000 2018,[],en,158,@Cheeseboy22 Awks,,,620951143,"[User(ID=44297479, ScreenName=Cheeseboy22)]",False,874376431949795330
False,Wed Apr 06 13:00:33 +0000 2011,True,True,,436,18,352,True,en,0,,Brenda White,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/278019242/1421358512,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,DDEEF6,333333,False,buvicchia,Sat Jul 02 13:22:34 +0000 2016,"[Hashtag(Text='Leadsom4Leader'), Hashtag(Text='FreshStart')]",en,41,I'm supporting #Leadsom4Leader to make Andrea Leadsom PM: join us for a #FreshStart! https://t.co/hdyfjNT1g4,Rome,,278019242,[],False,874376431949795330
False,Sat Mar 30 21:01:37 +0000 2013,True,False,no justice just us,1044,76,423,True,en,0,"London, England",Lewis mckenzie,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/1317185059/1504707682,http://pbs.twimg.com/profile_images/960202111828025346/wV34MQR__normal.jpg,1DA1F2,DDEEF6,333333,True,Lewis__mckenzie,NaN,NaN,NaN,1309,NaN,London,,1317185059,NaN,False,874376431949795330
False,Thu Apr 23 14:49:41 +0000 2009,False,False,Music Art Cuisine Technology Science Truth Friends Tired of the Status Quo (not the group) All comments and RT's................. blah blah blah. Atheist.,57444,807,1208,False,en,137,Central Europe,Merry Brexmas.,352726,http://abs.twimg.com/images/themes/theme5/bg.gif,False,,http://pbs.twimg.com/profile_images/643134743693918208/1O-wx9sn_normal.jpg,D02B55,99CC33,3E4415,False,nightstock,Thu Feb 08 21:12:01 +0000 2018,[],es,84817,RT @PrisonPlanet: Jordan Peterson for Canadian Prime Minister. 🤗,Bern,,34630786,"[User(ID=18643437, ScreenName=PrisonPlanet)]",False,874376431949795330
False,Tue Aug 09 21:39:14 +0000 2016,True,False,,0,6,46,False,en-gb,0,,Jack Folley,F5F8FA,,False,,http://pbs.twimg.com/profile_images/928360760396406785/Cd4-wY57_normal.jpg,1DA1F2,DDEEF6,333333,False,AuxNihil,NaN,NaN,NaN,0,NaN,,,763127522527764481,NaN,False,874376431949795330
False,Thu Aug 03 07:55:21 +0000 2017,True,False,,1637,50,108,False,en,1,,Colin,F5F8FA,,False,,http://pbs.twimg.com/profile_images/918384653077184512/wUQe7B6U_normal.jpg,1DA1F2,DDEEF6,333333,False,Colineuhater,Sat Nov 18 09:49:23 +0000 2017,[Hashtag(Text='PrivateEye')],en,4087,RT @wirespyuk: Brilliant from #PrivateEye https://t.co/Em2c7RwAVN,,,893017428959080448,"[User(ID=455667774, ScreenName=wirespyuk)]",False,874376431949795330
