contributors_enabled,created_at,default_profile,default_profile_image,description,favourites_count,followers_count,friends_count,geo_enabled,lang,listed_count,location,name,profile_background_color,profile_background_image_url,profile_background_tile,profile_banner_url,profile_image_url,profile_link_color,profile_sidebar_fill_color,profile_text_color,protected,screen_name,status_created_at,status_hashtags,status_lang,statuses_count,text,time_zone,url,user_id,user_mentions,verified,follows_subject
False,Sat Jan 21 16:39:46 +0000 2017,True,True,,8,3,139,False,en,0,,Tomasz Graja,F5F8FA,,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,DDEEF6,333333,False,tomasz63790839,NaN,NaN,NaN,0,NaN,,,822846156699029505,NaN,False,874376431949795330
False,Tue Aug 09 15:32:35 +0000 2011,False,False,@OVMCPRES ❤ University of Worcester Accounting Student :),260,527,420,True,en,2,Worcester,Chloe Jane,ABB8C2,http://pbs.twimg.com/profile_background_images/569263717628399616/MZWRVmyY.png,True,https://pbs.twimg.com/profile_banners/351663001/1513982821,http://pbs.twimg.com/profile_images/942528124197236736/s0L_xTrE_normal.jpg,B30D23,E5507E,362720,False,chloee_matthews,Tue Feb 06 16:05:22 +0000 2018,[],en,6261,"@Conservatives Just paid my official membership, looking forward to working with @Worcester_Tory soon!!",Casablanca,https://t.co/Cljz5H7Yhy,351663001,"[User(ID=14281853, ScreenName=Conservatives), User(ID=2742288750, ScreenName=Worcester_Tory)]",False,874376431949795330
False,Sun Mar 24 17:09:25 +0000 2013,True,True,,2037,63,155,True,en,0,,mark real,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,DDEEF6,333333,False,mark42real,Thu Feb 08 20:54:43 +0000 2018,[],fr,585,@BrexitBin @DarrenP37878903 Normal  remainer!,Pacific Time (US & Canada),,1295957924,"[User(ID=774510439824822273, ScreenName=BrexitBin), User(ID=895883765385383937, ScreenName=DarrenP37878903)]",False,874376431949795330
False,Tue Dec 19 21:44:25 +0000 2017,True,False,Believe in the nation state | Be fair and decent | Don’t believe the lies,40,65,59,False,en-gb,0,Brexit Britain,FutureforBritain 🇬🇧🔱,F5F8FA,,False,,http://pbs.twimg.com/profile_images/943254109163008001/4fKI2XdO_normal.jpg,1DA1F2,DDEEF6,333333,False,FutureforBrit,Wed Feb 07 20:38:31 +0000 2018,[],en,70,RT @ysaisamartinez: Cc: @Imamofpeace will love this 😁 https://t.co/CZD2PQzPAk,,,943235597103136770,"[User(ID=4596035604, ScreenName=ysaisamartinez), User(ID=1583865109, ScreenName=Imamofpeace)]",False,874376431949795330
False,Sun Jan 06 15:45:56 +0000 2013,True,False,,11,17,67,False,en,0,,Michael Pennington,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/1066021495/1357995424,http://pbs.twimg.com/profile_images/3073707993/60b19b6f18d19b13b5c56e4f0adaeaf8_normal.jpeg,1DA1F2,DDEEF6,333333,False,MJPenningtweet,Tue Dec 19 22:32:05 +0000 2017,[Hashtag(Text='leadership')],en,56,RT @ChurchillsOwn: After 2.5 years of exceptional #leadership the RSM handed over to WO1 Hepple. Thank you for all your hard work. #BeAHuss…,Casablanca,,1066021495,"[User(ID=2800671992, ScreenName=ChurchillsOwn)]",False,874376431949795330
False,Sat Oct 01 07:51:01 +0000 2011,True,False,,56,17,102,False,en,1,,David Smith,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/2322708580/atuizj1mpxs9l5rls0t8_normal.jpeg,1DA1F2,DDEEF6,333333,False,smifff67,Fri Nov 10 20:29:01 +0000 2017,[],en,19,@Mazda_UK Pity the uk doesn’t get heated rear seats too!,,,383093822,"[User(ID=250071713, ScreenName=Mazda_UK)]",False,874376431949795330
False,Wed Nov 21 20:49:25 +0000 2012,True,False,,1,2,27,False,en,0,,irene,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,False,,http://pbs.twimg.com/profile_images/2896407107/bf16cf41833b25126fcd7ff5185dae32_normal.png,1DA1F2,DDEEF6,333333,False,irene57803158,Fri Dec 15 16:07:49 +0000 2017,[],en,5,@lionelsumi @AbrahamEricWitt @paulwestonlibgb The Royals are not supposed to be political or to air their views.… https://t.co/1LUSR0Q2Fq,,,963074761,"[User(ID=907606230666969089, ScreenName=AbrahamEricWitt), User(ID=606758368, ScreenName=paulwestonlibgb)]",False,874376431949795330
False,Tue Dec 19 18:49:02 +0000 2017,False,False,"18. Out and proud Remoaner #FBPE. History, politics and music.",269,1461,1964,False,en,5,Neverland,Anna Magdalena,000000,http://abs.twimg.com/images/themes/theme1/bg.png,False,https://pbs.twimg.com/profile_banners/943191460542808064/1513713676,http://pbs.twimg.com/profile_images/943576116190679040/Du8R0fZt_normal.jpg,F58EA8,000000,000000,False,annaamagdalenaa,Thu Feb 08 16:36:12 +0000 2018,[],en,208,"RT @Andrew_Adonis: Writing my speech against Rees-Mogg for this evening. I’m amazed at the crass, extreme, heartless things he has said on…",,,943191460542808064,"[User(ID=420366322, ScreenName=Andrew_Adonis)]",False,874376431949795330
False,Fri Dec 08 20:11:49 +0000 2017,True,True,,561,5,23,False,en,0,,Joan Bradley,F5F8FA,,False,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,DDEEF6,333333,False,JoanBra69520180,Wed Jan 31 22:21:47 +0000 2018,[],en,7,@TRobinsonNewEra You can't demand respect it has to be earned,,,939226027179610112,"[User(ID=374712154, ScreenName=TRobinsonNewEra)]",False,874376431949795330
False,Sun Sep 13 16:14:16 +0000 2015,False,False,Miserable misanthropic middle aged git.,1594,73,265,False,en,0,"Billinge, Merseyside    ",Ray Miserable,0099B9,http://abs.twimg.com/images/themes/theme4/bg.gif,False,,http://pbs.twimg.com/profile_images/837803313596878849/9tsRMyPG_normal.jpg,0099B9,95E8EC,3C3940,False,raymiserable,Fri Feb 02 23:00:02 +0000 2018,[],und,85,@Holbornlolz @lordcynico  https://t.co/7jsGAjkzZs,London,,3643752077,"[User(ID=1957125536, ScreenName=Holbornlolz), User(ID=750315005648769024, ScreenName=lordcynico)]",False,874376431949795330
